title,url,source,date,content
Israeli troops launch raid on Nasser hospital in southern Gaza,https://www.theguardian.com/world/2024/feb/15/israeli-troops-raid-nasser-hospital-southern-gaza,Guardian,2024-02-15T19:28:42Z,
"Guest list, playlist and wedding dress: how Anthony Albanese and Jodie Haydon could celebrate their big day",https://www.theguardian.com/australia-news/2024/feb/16/what-anthony-albanese-and-jodie-haydons-wedding-day-will-look-like-hypothetically,Guardian,2024-02-15T19:25:39Z,
Heavy metals and E coli: raw sewage at US-Mexico border a ‘public health crisis’,https://www.theguardian.com/environment/2024/feb/15/us-mexico-california-tijuana-river-illness-public-health,Guardian,2024-02-15T19:17:40Z,
Rishi Sunak warned against fresh austerity drive to finance tax cuts,https://www.theguardian.com/business/2024/feb/15/rishi-sunak-warned-against-fresh-austerity-drive-to-finance-tax-cuts,Guardian,2024-02-15T19:15:50Z,
A restrained Trump faces his most tabloidy charges – and his first criminal trial,https://www.theguardian.com/us-news/2024/feb/15/trump-court-hush-money-stormy-daniels,Guardian,2024-02-15T19:06:45Z,
"Ill-judged tree planting in Africa threatens ecosystems, scientists warn",https://www.theguardian.com/environment/2024/feb/15/ill-judged-tree-planting-africa-threatens-ecosystems-scientists-warn,Guardian,2024-02-15T19:00:22Z,
"Ukraine’s war effort already affected by block on $60bn US aid, says Nato chief",https://www.theguardian.com/world/2024/feb/15/ukraines-war-effort-already-affected-by-block-on-60bn-us-aid--nato-jens-stoltenberg,Guardian,2024-02-15T18:50:17Z,
"Police launch murder investigation after boy, 16, stabbed in Bristol",https://www.theguardian.com/uk-news/2024/feb/15/boy-dies-stabbing-bristol,Guardian,2024-02-15T18:46:27Z,
The Guardian view on the UK recession: no growth and no ideas either | Editorial,https://www.theguardian.com/commentisfree/2024/feb/15/the-guardian-view-on-the-uk-recession-no-growth-and-no-ideas-either,Guardian,2024-02-15T18:36:31Z,
The Guardian view on Indonesia’s elections: Prabowo’s win is dismal news for democracy | Editorial,https://www.theguardian.com/commentisfree/2024/feb/15/the-guardian-view-on-indonesias-elections-prabowos-win-is-dismal-news-for-democracy,Guardian,2024-02-15T18:36:07Z,
Britain is in a rut. Here are five ways to fix the economy,https://www.theguardian.com/business/2024/feb/15/britain-is-in-a-rut-heres-five-ways-to-fix-the-economy,Guardian,2024-02-15T18:32:37Z,
"Mr Darcy’s wet shirt, as worn by Colin Firth, goes up for auction ",https://www.theguardian.com/tv-and-radio/2024/feb/15/mr-darcys-wet-shirt-as-worn-by-colin-firth-goes-up-for-auction-at-10000,Guardian,2024-02-15T18:30:26Z,
"Kansas City shooting appears to have been a private dispute, police chief says ",https://www.theguardian.com/us-news/2024/feb/15/kansas-city-shooting-bystanders-tacked-suspected-gunman-video,Guardian,2024-02-15T18:19:54Z,
"Antisemitic incidents in UK schools soared in 2023, charity reports",https://www.theguardian.com/news/2024/feb/15/antisemitic-incidents-in-uk-schools-soared-in-2023-charity-reports,Guardian,2024-02-15T18:18:34Z,
Google stops notifying publishers of ‘right to be forgotten’ removals from search results,https://www.theguardian.com/technology/2024/feb/15/google-stops-notifying-publishers-of-right-to-be-forgotten-removals-from-search-results,Guardian,2024-02-15T18:18:15Z,
‘Everyone needs to calm down’: experts assess Russian nuclear space threat,https://www.theguardian.com/world/2024/feb/15/experts-russian-nuclear-space-threat,Guardian,2024-02-15T18:17:46Z,
Authors ‘excluded from Hugo awards over China concerns’,https://www.theguardian.com/books/2024/feb/15/authors-excluded-from-hugo-awards-over-china-concerns,Guardian,2024-02-15T18:16:42Z,
"Parkrun, trans athletes and fairness to women | Letters",https://www.theguardian.com/lifeandstyle/2024/feb/15/parkrun-trans-athletes-and-fairness-to-women,Guardian,2024-02-15T18:07:21Z,
"Felix the cat, our elderly moth-eaten rescue, was a true survivor | Letter",https://www.theguardian.com/lifeandstyle/2024/feb/15/felix-the-cat-our-elderly-moth-eaten-rescue-was-a-true-survivor,Guardian,2024-02-15T18:07:12Z,
Olivier’s Othello was always racially offensive anachronism | Letters ,https://www.theguardian.com/stage/2024/feb/15/oliviers-othello-was-always-a-racially-offensive-anachronism,Guardian,2024-02-15T18:07:01Z,
Skyscrapers are wrong on so many levels,https://www.theguardian.com/artanddesign/2024/feb/15/skyscrapers-are-wrong-on-so-many-levels,Guardian,2024-02-15T18:06:56Z,
Larry Hogan says he doesn’t want to be a senator – but he’s polling well anyway,https://www.theguardian.com/us-news/2024/feb/15/larry-hogan-republican-senate-candidate-poll,Guardian,2024-02-15T18:06:03Z,
Arts Council England to update ‘activist statements’ guidance after backlash,https://www.theguardian.com/culture/2024/feb/15/arts-council-england-to-update-activist-statements-guidance-after-backlash,Guardian,2024-02-15T18:04:10Z,
Charles Holford obituary,https://www.theguardian.com/environment/2024/feb/15/charles-holford-obituary,Guardian,2024-02-15T18:04:05Z,
Callum Wilson’s Euro 2024 hopes all but over with striker set for 12-week absence,https://www.theguardian.com/football/2024/feb/15/callum-wilsons-euro-2024-hopes-all-but-over,Guardian,2024-02-15T18:03:14Z,
Guardian writer and Observer critic longlisted for inaugural Women’s prize for nonfiction,https://www.theguardian.com/books/2024/feb/15/womens-prize-nonfiction-guardian-observer,Guardian,2024-02-15T18:00:21Z,
British farmers plan more French-style tractor protests this weekend,https://www.theguardian.com/environment/2024/feb/15/british-farmers-plan-more-french-style-tractor-protests-this-weekend,Guardian,2024-02-15T17:54:29Z,
Donald Trump again threatens to sacrifice Nato allies to Russia,https://www.theguardian.com/us-news/2024/feb/15/trump-russia-attack-nato-campaign-biden,Guardian,2024-02-15T17:54:02Z,
John Nesbitt obituary,https://www.theguardian.com/artanddesign/2024/feb/15/john-nesbitt-obituary,Guardian,2024-02-15T17:53:55Z,
"Take the money and run? I tested X’s paid-promotion model, and it was woeful",https://www.theguardian.com/business/2024/feb/15/x-paid-post-promotion-advertising,Guardian,2024-02-15T17:41:57Z,
Spending watchdog launches investigation into Sellafield,https://www.theguardian.com/business/2024/feb/15/spending-watchdog-launches-investigation-into-sellafield,Guardian,2024-02-15T17:39:33Z,
Texas zoo delivers baby gorilla via rare emergency C-section,https://www.theguardian.com/us-news/2024/feb/15/texas-zoo-delivers-baby-gorilla-via-c-section,Guardian,2024-02-15T17:34:19Z,
Manchester United court Southampton director of football Jason Wilcox ,https://www.theguardian.com/football/2024/feb/15/manchester-united-ineos-southampton-jason-wilcox,Guardian,2024-02-15T17:31:58Z,
Henry Fambrough obituary,https://www.theguardian.com/music/2024/feb/15/henry-famborough-obituary,Guardian,2024-02-15T17:29:25Z,
Zero plans for public onshore windfarms submitted last year in England,https://www.theguardian.com/environment/2024/feb/15/zero-plans-for-public-onshore-windfarms-submitted-last-year-in-england,Guardian,2024-02-15T17:27:19Z,
